ПІБ лікаря,person_gender,person_age,n_visits
Васильєв В.О.,чоловіча,y40-64,535
Васильєв В.О.,чоловіча,y65+,183
Васильєва Ольга Іванівна,жіноча,y0-5,1521
Васильєва Ольга Іванівна,жіноча,y6-17,1926
Васильєва Ольга Іванівна,жіноча,y18-39,3
Васильєва Ольга Іванівна,чоловіча,y0-5,1637
Васильєва Ольга Іванівна,чоловіча,y6-17,1887
Васильєва Ольга Іванівна,чоловіча,y18-39,3
Васюкевич Олена Іванівна,жіноча,y18-39,324
Васюкевич Олена Іванівна,жіноча,y40-64,630
Васюкевич Олена Іванівна,жіноча,y65+,784
Васюкевич Олена Іванівна,чоловіча,y0-5,1
Васюкевич Олена Іванівна,чоловіча,y6-17,4
Васюкевич Олена Іванівна,чоловіча,y18-39,299
Васюкевич Олена Іванівна,чоловіча,y40-64,542
Васюкевич Олена Іванівна,чоловіча,y65+,382
Васіна Олена Олександрівна,жіноча,y18-39,238
Васіна Олена Олександрівна,жіноча,y40-64,714
Васіна Олена Олександрівна,жіноча,y65+,858
Васіна Олена Олександрівна,чоловіча,y0-5,2
Васіна Олена Олександрівна,чоловіча,y6-17,2
Васіна Олена Олександрівна,чоловіча,y18-39,266
Васіна Олена Олександрівна,чоловіча,y40-64,410
Васіна Олена Олександрівна,чоловіча,y65+,320
Власенко Ю.В.,жіноча,y6-17,23
Власенко Ю.В.,жіноча,y18-39,312
Власенко Ю.В.,жіноча,y40-64,702
Власенко Ю.В.,жіноча,y65+,726
Власенко Ю.В.,чоловіча,y6-17,13
Власенко Ю.В.,чоловіча,y18-39,274
Власенко Ю.В.,чоловіча,y40-64,480
Власенко Ю.В.,чоловіча,y65+,262
Воздіган Наталя Євгенівна,жіноча,y18-39,241
Воздіган Наталя Євгенівна,жіноча,y40-64,502
Воздіган Наталя Євгенівна,жіноча,y65+,652
Воздіган Наталя Євгенівна,чоловіча,y18-39,126
Воздіган Наталя Євгенівна,чоловіча,y40-64,345
Воздіган Наталя Євгенівна,чоловіча,y65+,179
Воробйова Арина Григорівна,жіноча,y0-5,1203
Воробйова Арина Григорівна,жіноча,y6-17,2032
Воробйова Арина Григорівна,жіноча,y18-39,4
Воробйова Арина Григорівна,жіноча,y65+,1
Воробйова Арина Григорівна,чоловіча,y0-5,1333
Воробйова Арина Григорівна,чоловіча,y6-17,1856
Воробйова Арина Григорівна,чоловіча,y18-39,5
Воробйова Арина Григорівна,чоловіча,y40-64,2
Воробйова О.В.,жіноча,y0-5,1
Воробйова О.В.,жіноча,y6-17,1
Воробйова О.В.,жіноча,y18-39,509
Воробйова О.В.,жіноча,y40-64,1050
Воробйова О.В.,жіноча,y65+,1130
Воробйова О.В.,чоловіча,y0-5,5
Воробйова О.В.,чоловіча,y6-17,1
Воробйова О.В.,чоловіча,y18-39,437
Воробйова О.В.,чоловіча,y40-64,676
Воробйова О.В.,чоловіча,y65+,343
Восканян Асмік Сааківна,жіноча,y0-5,1359
Восканян Асмік Сааківна,жіноча,y6-17,991
Восканян Асмік Сааківна,жіноча,y18-39,2
Восканян Асмік Сааківна,чоловіча,y0-5,1237
Восканян Асмік Сааківна,чоловіча,y6-17,1156
Восканян Асмік Сааківна,чоловіча,y40-64,1
Воєвода Катерина Андріївна,жіноча,y0-5,1
Воєвода Катерина Андріївна,жіноча,y6-17,3
Воєвода Катерина Андріївна,жіноча,y18-39,213
Воєвода Катерина Андріївна,жіноча,y40-64,690
Воєвода Катерина Андріївна,жіноча,y65+,808
Воєвода Катерина Андріївна,чоловіча,y6-17,5
Воєвода Катерина Андріївна,чоловіча,y18-39,218
Воєвода Катерина Андріївна,чоловіча,y40-64,413
Воєвода Катерина Андріївна,чоловіча,y65+,312
Віжга Віталій Вікторович,жіноча,y6-17,2
Віжга Віталій Вікторович,жіноча,y18-39,624
Віжга Віталій Вікторович,жіноча,y40-64,762
Віжга Віталій Вікторович,жіноча,y65+,556
Віжга Віталій Вікторович,чоловіча,y6-17,3
Віжга Віталій Вікторович,чоловіча,y18-39,452
Віжга Віталій Вікторович,чоловіча,y40-64,482
Віжга Віталій Вікторович,чоловіча,y65+,253
Гаврюшина Н.Е.,жіноча,y0-5,5
Гаврюшина Н.Е.,жіноча,y6-17,124
Гаврюшина Н.Е.,жіноча,y18-39,540
Гаврюшина Н.Е.,жіноча,y40-64,797
Гаврюшина Н.Е.,жіноча,y65+,737
Гаврюшина Н.Е.,чоловіча,y0-5,31
Гаврюшина Н.Е.,чоловіча,y6-17,97
Гаврюшина Н.Е.,чоловіча,y18-39,392
Гаврюшина Н.Е.,чоловіча,y40-64,576
Гаврюшина Н.Е.,чоловіча,y65+,267
Ганіна Вікторія Петрівна,жіноча,y0-5,382
Ганіна Вікторія Петрівна,жіноча,y6-17,519
Ганіна Вікторія Петрівна,чоловіча,y0-5,442
Ганіна Вікторія Петрівна,чоловіча,y6-17,428
Ганіна Вікторія Петрівна,чоловіча,y18-39,3
Ганіна Вікторія Петрівна,чоловіча,y40-64,1
Генов Геннадій Анатолійович,жіноча,y18-39,698
Генов Геннадій Анатолійович,жіноча,y40-64,1353
Генов Геннадій Анатолійович,жіноча,y65+,733
Генов Геннадій Анатолійович,чоловіча,y0-5,1
Генов Геннадій Анатолійович,чоловіча,y6-17,1
Генов Геннадій Анатолійович,чоловіча,y18-39,1090
Генов Геннадій Анатолійович,чоловіча,y40-64,1428
Генов Геннадій Анатолійович,чоловіча,y65+,334
Генова Ольга Дмитрівна,жіноча,y18-39,90
Генова Ольга Дмитрівна,жіноча,y40-64,291
Генова Ольга Дмитрівна,жіноча,y65+,183
Генова Ольга Дмитрівна,чоловіча,y18-39,129
Генова Ольга Дмитрівна,чоловіча,y40-64,202
Генова Ольга Дмитрівна,чоловіча,y65+,77
Гетманов Петро Миколайович,жіноча,y6-17,5
Гетманов Петро Миколайович,жіноча,y18-39,369
Гетманов Петро Миколайович,жіноча,y40-64,813
Гетманов Петро Миколайович,жіноча,y65+,765
Гетманов Петро Миколайович,чоловіча,y0-5,2
Гетманов Петро Миколайович,чоловіча,y6-17,1
Гетманов Петро Миколайович,чоловіча,y18-39,478
Гетманов Петро Миколайович,чоловіча,y40-64,664
Гетманов Петро Миколайович,чоловіча,y65+,359
Гетманова Анастасія Олександрівна,жіноча,y6-17,126
Гетманова Анастасія Олександрівна,жіноча,y18-39,573
Гетманова Анастасія Олександрівна,жіноча,y40-64,995
Гетманова Анастасія Олександрівна,жіноча,y65+,1035
Гетманова Анастасія Олександрівна,чоловіча,y6-17,144
Гетманова Анастасія Олександрівна,чоловіча,y18-39,527
Гетманова Анастасія Олександрівна,чоловіча,y40-64,640
Гетманова Анастасія Олександрівна,чоловіча,y65+,339
Гладких Наталя Анатоліївна,жіноча,y18-39,462
Гладких Наталя Анатоліївна,жіноча,y40-64,1053
Гладких Наталя Анатоліївна,жіноча,y65+,1472
Гладких Наталя Анатоліївна,чоловіча,y0-5,2
Гладких Наталя Анатоліївна,чоловіча,y6-17,2
Гладких Наталя Анатоліївна,чоловіча,y18-39,574
Гладких Наталя Анатоліївна,чоловіча,y40-64,703
Гладких Наталя Анатоліївна,чоловіча,y65+,475
Головко Валентина Олександрівна,жіноча,y0-5,1
Головко Валентина Олександрівна,жіноча,y18-39,122
Головко Валентина Олександрівна,жіноча,y40-64,402
Головко Валентина Олександрівна,жіноча,y65+,625
Головко Валентина Олександрівна,чоловіча,y18-39,93
Головко Валентина Олександрівна,чоловіча,y40-64,209
Головко Валентина Олександрівна,чоловіча,y65+,232
Горбатенко Олена Олександрівна,жіноча,y18-39,399
Горбатенко Олена Олександрівна,жіноча,y40-64,833
Горбатенко Олена Олександрівна,жіноча,y65+,877
Горбатенко Олена Олександрівна,чоловіча,y6-17,6
Горбатенко Олена Олександрівна,чоловіча,y18-39,379
Горбатенко Олена Олександрівна,чоловіча,y40-64,744
Горбатенко Олена Олександрівна,чоловіча,y65+,254
Гордієнко Тетяна Юріївна,жіноча,y18-39,10
Гордієнко Тетяна Юріївна,жіноча,y40-64,7
Гордієнко Тетяна Юріївна,жіноча,y65+,8
Гордієнко Тетяна Юріївна,чоловіча,y18-39,8
Гордієнко Тетяна Юріївна,чоловіча,y40-64,5
Гордієнко Тетяна Юріївна,чоловіча,y65+,1
Городничий Г.Г.,жіноча,y0-5,1
Городничий Г.Г.,жіноча,y6-17,1
Городничий Г.Г.,жіноча,y18-39,115
Городничий Г.Г.,жіноча,y40-64,261
Городничий Г.Г.,жіноча,y65+,470
Городничий Г.Г.,чоловіча,y18-39,135
Городничий Г.Г.,чоловіча,y40-64,275
Городничий Г.Г.,чоловіча,y65+,190
Григорова Ірина Димирівна,жіноча,y6-17,3
Григорова Ірина Димирівна,жіноча,y18-39,636
Григорова Ірина Димирівна,жіноча,y40-64,983
Григорова Ірина Димирівна,жіноча,y65+,812
Григорова Ірина Димирівна,чоловіча,y18-39,653
Григорова Ірина Димирівна,чоловіча,y40-64,702
Григорова Ірина Димирівна,чоловіча,y65+,261
Грицай Л.В.,жіноча,y0-5,973
Грицай Л.В.,жіноча,y6-17,1338
Грицай Л.В.,жіноча,y18-39,2
Грицай Л.В.,жіноча,y65+,1
Грицай Л.В.,чоловіча,y0-5,1108
Грицай Л.В.,чоловіча,y6-17,1328
Грицай Л.В.,чоловіча,y18-39,3
Губенко Людмила Порфирівна,жіноча,y0-5,1
Губенко Людмила Порфирівна,жіноча,y6-17,11
Губенко Людмила Порфирівна,жіноча,y18-39,310
Губенко Людмила Порфирівна,жіноча,y40-64,842
Губенко Людмила Порфирівна,жіноча,y65+,1303
Губенко Людмила Порфирівна,чоловіча,y6-17,7
Губенко Людмила Порфирівна,чоловіча,y18-39,447
Губенко Людмила Порфирівна,чоловіча,y40-64,543
Губенко Людмила Порфирівна,чоловіча,y65+,522
Гугулі Ганна Петрівна,жіноча,y0-5,30
Гугулі Ганна Петрівна,жіноча,y6-17,423
Гугулі Ганна Петрівна,жіноча,y18-39,380
Гугулі Ганна Петрівна,жіноча,y40-64,1321
Гугулі Ганна Петрівна,жіноча,y65+,1017
Гугулі Ганна Петрівна,чоловіча,y0-5,48
Гугулі Ганна Петрівна,чоловіча,y6-17,483
Гугулі Ганна Петрівна,чоловіча,y18-39,571
Гугулі Ганна Петрівна,чоловіча,y40-64,809
Гугулі Ганна Петрівна,чоловіча,y65+,467
Гуров Ігор Валентинович,жіноча,y0-5,80
Гуров Ігор Валентинович,жіноча,y6-17,245
Гуров Ігор Валентинович,жіноча,y18-39,7
Гуров Ігор Валентинович,жіноча,y40-64,12
Гуров Ігор Валентинович,жіноча,y65+,8
Гуров Ігор Валентинович,чоловіча,y0-5,73
Гуров Ігор Валентинович,чоловіча,y6-17,265
Гуров Ігор Валентинович,чоловіча,y18-39,2
Гуров Ігор Валентинович,чоловіча,y40-64,2
Гутнік Наталія Олександрівна,жіноча,y0-5,87
Гутнік Наталія Олександрівна,жіноча,y6-17,175
Гутнік Наталія Олександрівна,жіноча,y18-39,7
Гутнік Наталія Олександрівна,чоловіча,y0-5,130
Гутнік Наталія Олександрівна,чоловіча,y6-17,185
Давіденко Надія Дмитрівна,жіноча,y6-17,5
Давіденко Надія Дмитрівна,жіноча,y18-39,219
Давіденко Надія Дмитрівна,жіноча,y40-64,655
Давіденко Надія Дмитрівна,жіноча,y65+,747
Давіденко Надія Дмитрівна,чоловіча,y6-17,1
Давіденко Надія Дмитрівна,чоловіча,y18-39,152
Давіденко Надія Дмитрівна,чоловіча,y40-64,381
Давіденко Надія Дмитрівна,чоловіча,y65+,270
Данилова Олена Юріївна,жіноча,y6-17,1
Данилова Олена Юріївна,жіноча,y18-39,18
Данилова Олена Юріївна,жіноча,y40-64,26
Данилова Олена Юріївна,жіноча,y65+,33
Данилова Олена Юріївна,чоловіча,y18-39,10
Данилова Олена Юріївна,чоловіча,y40-64,17
Данилова Олена Юріївна,чоловіча,y65+,13
Даренська Вікторія Леонідівна,жіноча,y18-39,119
Даренська Вікторія Леонідівна,жіноча,y40-64,229
Даренська Вікторія Леонідівна,жіноча,y65+,185
Даренська Вікторія Леонідівна,чоловіча,y18-39,108
Даренська Вікторія Леонідівна,чоловіча,y40-64,121
Даренська Вікторія Леонідівна,чоловіча,y65+,39
Девята Світлана Леонідівна,жіноча,y0-5,3
Девята Світлана Леонідівна,жіноча,y6-17,7
Девята Світлана Леонідівна,жіноча,y18-39,346
Девята Світлана Леонідівна,жіноча,y40-64,602
Девята Світлана Леонідівна,жіноча,y65+,630
Девята Світлана Леонідівна,чоловіча,y0-5,1
Девята Світлана Леонідівна,чоловіча,y6-17,10
Девята Світлана Леонідівна,чоловіча,y18-39,545
Девята Світлана Леонідівна,чоловіча,y40-64,433
Девята Світлана Леонідівна,чоловіча,y65+,299
Джалалова Неоніла Іллівна,жіноча,y18-39,509
Джалалова Неоніла Іллівна,жіноча,y40-64,735
Джалалова Неоніла Іллівна,жіноча,y65+,771
Джалалова Неоніла Іллівна,чоловіча,y6-17,4
Джалалова Неоніла Іллівна,чоловіча,y18-39,603
Джалалова Неоніла Іллівна,чоловіча,y40-64,575
Джалалова Неоніла Іллівна,чоловіча,y65+,322
Джалтир Микола Пантелійович,жіноча,y18-39,569
Джалтир Микола Пантелійович,жіноча,y40-64,960
Джалтир Микола Пантелійович,жіноча,y65+,1121
Джалтир Микола Пантелійович,чоловіча,y18-39,535
Джалтир Микола Пантелійович,чоловіча,y40-64,579
Джалтир Микола Пантелійович,чоловіча,y65+,482
Дмитренко Віталіна Сергіївна,жіноча,y0-5,29
Дмитренко Віталіна Сергіївна,жіноча,y6-17,126
Дмитренко Віталіна Сергіївна,чоловіча,y0-5,15
Дмитренко Віталіна Сергіївна,чоловіча,y6-17,99
Довгополова Анна Олексіївна,жіноча,y18-39,56
Довгополова Анна Олексіївна,жіноча,y40-64,69
Довгополова Анна Олексіївна,жіноча,y65+,35
Довгополова Анна Олексіївна,чоловіча,y18-39,35
Довгополова Анна Олексіївна,чоловіча,y40-64,42
Довгополова Анна Олексіївна,чоловіча,y65+,29
Долженко Ірина Олександрівна,жіноча,y0-5,231
Долженко Ірина Олександрівна,жіноча,y6-17,216
Долженко Ірина Олександрівна,чоловіча,y0-5,464
Долженко Ірина Олександрівна,чоловіча,y6-17,359
Долженко Ірина Олександрівна,чоловіча,y18-39,14
Долженко Ірина Олександрівна,чоловіча,y40-64,1
Донбай Наталя Володимирівна,жіноча,y6-17,1
Донбай Наталя Володимирівна,жіноча,y18-39,357
Донбай Наталя Володимирівна,жіноча,y40-64,1175
Донбай Наталя Володимирівна,жіноча,y65+,1387
Донбай Наталя Володимирівна,чоловіча,y6-17,1
Донбай Наталя Володимирівна,чоловіча,y18-39,215
Донбай Наталя Володимирівна,чоловіча,y40-64,500
Донбай Наталя Володимирівна,чоловіча,y65+,544
Дорошенко Сергій Володимирович,жіноча,y0-5,265
Дорошенко Сергій Володимирович,жіноча,y6-17,499
Дорошенко Сергій Володимирович,чоловіча,y0-5,324
Дорошенко Сергій Володимирович,чоловіча,y6-17,659
Дорошенко Сергій Володимирович,чоловіча,y18-39,1
Дорошенко Сергій Володимирович,чоловіча,y40-64,1
Душа Тетяна Володимирівна,жіноча,y18-39,126
Душа Тетяна Володимирівна,жіноча,y40-64,352
Душа Тетяна Володимирівна,жіноча,y65+,320
Душа Тетяна Володимирівна,чоловіча,y6-17,1
Душа Тетяна Володимирівна,чоловіча,y18-39,114
Душа Тетяна Володимирівна,чоловіча,y40-64,200
Душа Тетяна Володимирівна,чоловіча,y65+,130
Дяченко Алла Олександрівна,жіноча,y0-5,1012
Дяченко Алла Олександрівна,жіноча,y6-17,1239
Дяченко Алла Олександрівна,жіноча,y18-39,2
Дяченко Алла Олександрівна,чоловіча,y0-5,999
Дяченко Алла Олександрівна,чоловіча,y6-17,1231
Жгарь Володимир Леонідович,жіноча,y0-5,357
Жгарь Володимир Леонідович,жіноча,y6-17,510
Жгарь Володимир Леонідович,жіноча,y18-39,79
Жгарь Володимир Леонідович,жіноча,y40-64,32
Жгарь Володимир Леонідович,жіноча,y65+,5
Жгарь Володимир Леонідович,чоловіча,y0-5,436
Жгарь Володимир Леонідович,чоловіча,y6-17,662
Жгарь Володимир Леонідович,чоловіча,y18-39,63
Жгарь Володимир Леонідович,чоловіча,y40-64,47
Зайцева Ірина Володимирівна,жіноча,y6-17,10
Зайцева Ірина Володимирівна,жіноча,y18-39,391
Зайцева Ірина Володимирівна,жіноча,y40-64,1072
Зайцева Ірина Володимирівна,жіноча,y65+,1027
Зайцева Ірина Володимирівна,чоловіча,y0-5,2
Зайцева Ірина Володимирівна,чоловіча,y6-17,4
Зайцева Ірина Володимирівна,чоловіча,y18-39,471
Зайцева Ірина Володимирівна,чоловіча,y40-64,619
Зайцева Ірина Володимирівна,чоловіча,y65+,458
Звонарьова А.Т.,жіноча,y6-17,3
Звонарьова А.Т.,жіноча,y18-39,365
Звонарьова А.Т.,жіноча,y40-64,779
Звонарьова А.Т.,жіноча,y65+,914
Звонарьова А.Т.,чоловіча,y6-17,1
Звонарьова А.Т.,чоловіча,y18-39,378
Звонарьова А.Т.,чоловіча,y40-64,548
Звонарьова А.Т.,чоловіча,y65+,356
Землякова Анжела Викторівна,жіноча,y18-39,197
Землякова Анжела Викторівна,жіноча,y40-64,556
Землякова Анжела Викторівна,жіноча,y65+,586
Землякова Анжела Викторівна,чоловіча,y6-17,1
Землякова Анжела Викторівна,чоловіча,y18-39,216
Землякова Анжела Викторівна,чоловіча,y40-64,368
Землякова Анжела Викторівна,чоловіча,y65+,257
Земляна Галина Сергіївна,жіноча,y18-39,200
Земляна Галина Сергіївна,жіноча,y40-64,596
Земляна Галина Сергіївна,жіноча,y65+,900
Земляна Галина Сергіївна,чоловіча,y18-39,254
Земляна Галина Сергіївна,чоловіча,y40-64,426
Земляна Галина Сергіївна,чоловіча,y65+,193
Злобіна Анжела В`ячеславівна,жіноча,y0-5,526
Злобіна Анжела В`ячеславівна,жіноча,y6-17,705
Злобіна Анжела В`ячеславівна,жіноча,y18-39,10
Злобіна Анжела В`ячеславівна,жіноча,y40-64,5
Злобіна Анжела В`ячеславівна,чоловіча,y0-5,486
Злобіна Анжела В`ячеславівна,чоловіча,y6-17,811
Злобіна Анжела В`ячеславівна,чоловіча,y18-39,12
Злобіна Анжела В`ячеславівна,чоловіча,y40-64,6
Золотарьова Ольга Вікторівна,жіноча,y0-5,495
Золотарьова Ольга Вікторівна,жіноча,y6-17,643
Золотарьова Ольга Вікторівна,жіноча,y18-39,3
Золотарьова Ольга Вікторівна,жіноча,y40-64,1
Золотарьова Ольга Вікторівна,чоловіча,y0-5,492
Золотарьова Ольга Вікторівна,чоловіча,y6-17,704
Зотов Артем Олексійович,жіноча,y18-39,177
Зотов Артем Олексійович,жіноча,y40-64,355
Зотов Артем Олексійович,жіноча,y65+,242
Зотов Артем Олексійович,чоловіча,y18-39,322
Зотов Артем Олексійович,чоловіча,y40-64,361
Зотов Артем Олексійович,чоловіча,y65+,117
Зіракашвілі Л.І.,жіноча,y6-17,3
Зіракашвілі Л.І.,жіноча,y18-39,422
Зіракашвілі Л.І.,жіноча,y40-64,975
Зіракашвілі Л.І.,жіноча,y65+,856
Зіракашвілі Л.І.,чоловіча,y6-17,1
Зіракашвілі Л.І.,чоловіча,y18-39,412
Зіракашвілі Л.І.,чоловіча,y40-64,771
Зіракашвілі Л.І.,чоловіча,y65+,298
Кайс Ніна Дорофеївна,жіноча,y18-39,403
Кайс Ніна Дорофеївна,жіноча,y40-64,806
Кайс Ніна Дорофеївна,жіноча,y65+,697
Кайс Ніна Дорофеївна,чоловіча,y6-17,2
Кайс Ніна Дорофеївна,чоловіча,y18-39,374
Кайс Ніна Дорофеївна,чоловіча,y40-64,535
Кайс Ніна Дорофеївна,чоловіча,y65+,274
Каленова Наталія Василівна,жіноча,y0-5,624
Каленова Наталія Василівна,жіноча,y6-17,2029
Каленова Наталія Василівна,жіноча,y18-39,11
Каленова Наталія Василівна,жіноча,y40-64,3
Каленова Наталія Василівна,чоловіча,y0-5,2
Каленова Наталія Василівна,чоловіча,y6-17,6
Калугіна Тамара Костянтинівна,жіноча,y0-5,1
Калугіна Тамара Костянтинівна,жіноча,y6-17,1
Калугіна Тамара Костянтинівна,жіноча,y18-39,233
Калугіна Тамара Костянтинівна,жіноча,y40-64,522
Калугіна Тамара Костянтинівна,жіноча,y65+,732
Калугіна Тамара Костянтинівна,чоловіча,y18-39,254
Калугіна Тамара Костянтинівна,чоловіча,y40-64,414
Калугіна Тамара Костянтинівна,чоловіча,y65+,262
Кандибка Ірина Віталіївна,жіноча,y6-17,4
Кандибка Ірина Віталіївна,жіноча,y18-39,571
Кандибка Ірина Віталіївна,жіноча,y40-64,1419
Кандибка Ірина Віталіївна,жіноча,y65+,1585
Кандибка Ірина Віталіївна,чоловіча,y6-17,4
Кандибка Ірина Віталіївна,чоловіча,y18-39,846
Кандибка Ірина Віталіївна,чоловіча,y40-64,1084
Кандибка Ірина Віталіївна,чоловіча,y65+,657
Кандудіна Любов Іларіонівна,жіноча,y6-17,13
Кандудіна Любов Іларіонівна,жіноча,y18-39,417
Кандудіна Любов Іларіонівна,жіноча,y40-64,1138
Кандудіна Любов Іларіонівна,жіноча,y65+,1294
Кандудіна Любов Іларіонівна,чоловіча,y6-17,2
Кандудіна Любов Іларіонівна,чоловіча,y18-39,613
Кандудіна Любов Іларіонівна,чоловіча,y40-64,708
Кандудіна Любов Іларіонівна,чоловіча,y65+,366
Капліна Ольга Андріївна,жіноча,y18-39,285
Капліна Ольга Андріївна,жіноча,y40-64,916
Капліна Ольга Андріївна,жіноча,y65+,969
Капліна Ольга Андріївна,чоловіча,y18-39,340
Капліна Ольга Андріївна,чоловіча,y40-64,657
Капліна Ольга Андріївна,чоловіча,y65+,277
Капралов Геннадій Васильович,жіноча,y0-5,1
Капралов Геннадій Васильович,жіноча,y18-39,502
Капралов Геннадій Васильович,жіноча,y40-64,897
Капралов Геннадій Васильович,жіноча,y65+,403
Капралов Геннадій Васильович,чоловіча,y6-17,11
Капралов Геннадій Васильович,чоловіча,y18-39,957
Капралов Геннадій Васильович,чоловіча,y40-64,1137
Капралов Геннадій Васильович,чоловіча,y65+,136
Каравська Ольга Олександрівна,жіноча,y18-39,9
Каравська Ольга Олександрівна,жіноча,y40-64,24
Каравська Ольга Олександрівна,жіноча,y65+,3
Каравська Ольга Олександрівна,чоловіча,y18-39,19
Каравська Ольга Олександрівна,чоловіча,y40-64,24
Каравська Ольга Олександрівна,чоловіча,y65+,1
Картечева Наталля Анатоліївна,жіноча,y0-5,281
Картечева Наталля Анатоліївна,жіноча,y6-17,245
Картечева Наталля Анатоліївна,жіноча,y18-39,3
Картечева Наталля Анатоліївна,жіноча,y40-64,1
Картечева Наталля Анатоліївна,чоловіча,y0-5,230
Картечева Наталля Анатоліївна,чоловіча,y6-17,237
Картєчева Нат.А.,жіноча,y6-17,6
Картєчева Нат.А.,жіноча,y18-39,203
Картєчева Нат.А.,жіноча,y40-64,424
Картєчева Нат.А.,жіноча,y65+,350
Картєчева Нат.А.,чоловіча,y18-39,249
Картєчева Нат.А.,чоловіча,y40-64,381
Картєчева Нат.А.,чоловіча,y65+,138
Кас'янова Лариса Олександрівна,жіноча,y6-17,3
Кас'янова Лариса Олександрівна,жіноча,y18-39,364
Кас'янова Лариса Олександрівна,жіноча,y40-64,969
Кас'янова Лариса Олександрівна,жіноча,y65+,1387
Кас'янова Лариса Олександрівна,чоловіча,y6-17,6
Кас'янова Лариса Олександрівна,чоловіча,y18-39,424
Кас'янова Лариса Олександрівна,чоловіча,y40-64,820
Кас'янова Лариса Олександрівна,чоловіча,y65+,529
Касьян Л.В.,жіноча,y18-39,3
Касьян Л.В.,жіноча,y40-64,7
